"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 21 17:18:10 IST 2019","Tue May 21 17:18:56 IST 2019","46252","Tests","test_Login","TestLogin","","","test_login_valid",""
"passed","Tue May 21 17:19:18 IST 2019","Tue May 21 17:19:43 IST 2019","25717","Tests","test_Login","TestLogin","","","test_login_invalid",""
